Account,Ticket,Underlying,Symbol,Exchange,Time,Action,Quantity,Price,Commission
PST-006776-G030,20594684,MNQ,MNQH6,CME,"01/07/2026 03:17:52.989-0500",BOT,1,25779.00,
PST-006776-G030,20594704,MNQ,MNQH6,CME,"01/07/2026 03:19:06.782-0500",BOT,1,25778.25,
PST-006776-G030,20594740,MNQ,MNQH6,CME,"01/07/2026 03:21:28.608-0500",BOT,1,25781.75,
PST-006776-G030,20594813,MNQ,MNQH6,CME,"01/07/2026 03:24:34.113-0500",SLD,1,25777.25,
PST-006776-G030,20594818,MNQ,MNQH6,CME,"01/07/2026 03:24:37.552-0500",SLD,1,25777.25,
PST-006776-G030,20594968,MNQ,MNQH6,CME,"01/07/2026 03:34:21.535-0500",SLD,1,25768.25,
PST-006776-G030,20594968,MNQ,MNQH6,CME,"01/07/2026 03:34:21.535-0500",SLD,1,25768.00,
PST-006776-G030,20594994,MNQ,MNQH6,CME,"01/07/2026 03:34:57.998-0500",BOT,2,25766.75,
PST-006776-G030,20595113,MNQ,MNQH6,CME,"01/07/2026 03:44:50.742-0500",BOT,1,25773.25,
PST-006776-G030,20595130,MNQ,MNQH6,CME,"01/07/2026 03:45:13.535-0500",BOT,1,25772.25,
PST-006776-G030,20595161,MNQ,MNQH6,CME,"01/07/2026 03:48:50.917-0500",SLD,1,25771.00,
PST-006776-G030,20595164,MNQ,MNQH6,CME,"01/07/2026 03:49:05.677-0500",SLD,1,25770.75,
PST-006776-G030,20595232,MNQ,MNQH6,CME,"01/07/2026 03:54:16.695-0500",SLD,2,25765.25,
PST-006776-G030,20595338,MNQ,MNQH6,CME,"01/07/2026 04:00:27.078-0500",BOT,1,25756.75,
PST-006776-G030,20595737,MNQ,MNQH6,CME,"01/07/2026 04:11:41.046-0500",BOT,1,25744.25,
PST-006776-G030,20596109,MNQ,MNQH6,CME,"01/07/2026 04:31:11.046-0500",BOT,1,25746.50,
PST-006776-G030,20596112,MNQ,MNQH6,CME,"01/07/2026 04:31:45.930-0500",BOT,1,25747.50,
PST-006776-G030,20597121,MNQ,MNQH6,CME,"01/07/2026 05:53:51.029-0500",BOT,1,25738.00,
PST-006776-G030,20597155,MNQ,MNQH6,CME,"01/07/2026 05:55:21.425-0500",SLD,1,25730.50,
PST-006776-G030,20597198,MNQ,MNQH6,CME,"01/07/2026 05:57:22.382-0500",BOT,1,25736.50,
PST-006776-G030,20598684,MNQ,MNQH6,CME,"01/07/2026 07:30:21.290-0500",SLD,1,25773.00,
PST-006776-G030,20598717,MNQ,MNQH6,CME,"01/07/2026 07:30:47.798-0500",SLD,1,25771.25,
PST-006776-G030,20601982,MNQ,MNQH6,CME,"01/07/2026 08:40:34.658-0500",BOT,1,25789.00,
PST-006776-G030,20602602,MNQ,MNQH6,CME,"01/07/2026 08:49:22.924-0500",BOT,1,25786.75,
PST-006776-G030,20603836,MNQ,MNQH6,CME,"01/07/2026 09:05:13.802-0500",SLD,1,25769.25,
PST-006776-G030,20603850,MNQ,MNQH6,CME,"01/07/2026 09:05:16.401-0500",SLD,1,25769.00,
PST-006776-G030,20604154,MNQ,MNQH6,CME,"01/07/2026 09:07:23.827-0500",BOT,1,25769.25,
PST-006776-G030,20604187,MNQ,MNQH6,CME,"01/07/2026 09:07:36.991-0500",BOT,1,25770.00,
PST-006776-G030,20605408,MNQ,MNQH6,CME,"01/07/2026 09:21:21.586-0500",SLD,1,25774.25,
PST-006776-G030,20605408,MNQ,MNQH6,CME,"01/07/2026 09:21:21.586-0500",SLD,1,25774.00,
PST-006776-G030,20694074,MNQ,MNQH6,CME,"01/07/2026 22:37:00.611-0500",SLD,2,25776.25,
PST-006776-G030,20694362,MNQ,MNQH6,CME,"01/07/2026 22:55:55.762-0500",BOT,2,25780.50,
PST-006776-G030,20694381,MNQ,MNQH6,CME,"01/07/2026 22:57:30.448-0500",SLD,2,25775.75,
PST-006776-G030,20694461,MNQ,MNQH6,CME,"01/07/2026 23:01:09.576-0500",BOT,2,25782.75,
PST-006776-G030,20694513,MNQ,MNQH6,CME,"01/07/2026 23:07:11.213-0500",BOT,2,25780.00,
PST-006776-G030,20694703,MNQ,MNQH6,CME,"01/07/2026 23:25:02.723-0500",BOT,1,25787.25,
PST-006776-G030,20695315,MNQ,MNQH6,CME,"01/08/2026 00:12:42.826-0500",SLD,1,25774.25,
PST-006776-G030,20695329,MNQ,MNQH6,CME,"01/08/2026 00:12:52.204-0500",SLD,1,25771.00,
PST-006776-G030,20695336,MNQ,MNQH6,CME,"01/08/2026 00:12:53.784-0500",SLD,1,25770.50,
PST-006776-G030,20695349,MNQ,MNQH6,CME,"01/08/2026 00:13:05.338-0500",SLD,1,25769.50,
PST-006776-G030,20695350,MNQ,MNQH6,CME,"01/08/2026 00:13:05.402-0500",SLD,1,25769.50,
PST-006776-G030,20695359,MNQ,MNQH6,CME,"01/08/2026 00:13:07.087-0500",SLD,1,25770.00,
PST-006776-G030,20695365,MNQ,MNQH6,CME,"01/08/2026 00:13:12.802-0500",SLD,1,25770.00,
